[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, bias = 0.5, batch = 5
  271: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.0000, NZW = 917392
  272: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.0000, NZW = 917418
  273: F1: 92.68, P: 93.60, R: 91.79, RollIn = 0.0000, NZW = 917464
  274: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0000, NZW = 917499
  275: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0000, NZW = 917573
  276: F1: 92.68, P: 93.60, R: 91.79, RollIn = 0.0000, NZW = 917593
  277: F1: 92.67, P: 93.58, R: 91.77, RollIn = 0.0000, NZW = 917663
  278: F1: 92.67, P: 93.58, R: 91.77, RollIn = 0.0000, NZW = 917776
  279: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0000, NZW = 917819
  280: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0000, NZW = 917835
  281: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0000, NZW = 917866
  282: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0000, NZW = 917928
  283: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0000, NZW = 917992
  284: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0000, NZW = 918010
  285: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0000, NZW = 918123
  286: F1: 92.69, P: 93.58, R: 91.80, RollIn = 0.0000, NZW = 918189
  287: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0000, NZW = 918237
  288: F1: 92.66, P: 93.57, R: 91.77, RollIn = 0.0000, NZW = 918317
  289: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0000, NZW = 918375
  290: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0000, NZW = 918407
  291: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0000, NZW = 918451
  292: F1: 92.68, P: 93.60, R: 91.79, RollIn = 0.0000, NZW = 918488
  293: F1: 92.68, P: 93.60, R: 91.79, RollIn = 0.0000, NZW = 918511
  294: F1: 92.66, P: 93.57, R: 91.77, RollIn = 0.0000, NZW = 918530
