[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  195: F1: 92.77, P: 93.75, R: 91.82, RollIn = 0.0000, NZW = 477725
  196: F1: 92.83, P: 93.80, R: 91.89, RollIn = 0.0000, NZW = 477079
  197: F1: 92.83, P: 93.78, R: 91.91, RollIn = 0.0000, NZW = 476145
  198: F1: 92.81, P: 93.75, R: 91.89, RollIn = 0.0000, NZW = 476242
  199: F1: 92.83, P: 93.77, R: 91.91, RollIn = 0.0000, NZW = 475987
  200: F1: 92.76, P: 93.74, R: 91.80, RollIn = 0.0000, NZW = 475592
  201: F1: 92.80, P: 93.78, R: 91.84, RollIn = 0.0000, NZW = 474679
  202: F1: 92.83, P: 93.80, R: 91.89, RollIn = 0.0000, NZW = 473933
  203: F1: 92.88, P: 93.83, R: 91.94, RollIn = 0.0000, NZW = 473690
  204: F1: 92.88, P: 93.83, R: 91.94, RollIn = 0.0000, NZW = 473877
  205: F1: 92.80, P: 93.75, R: 91.87, RollIn = 0.0000, NZW = 473956
  206: F1: 92.79, P: 93.73, R: 91.87, RollIn = 0.0000, NZW = 472859
  207: F1: 92.83, P: 93.78, R: 91.89, RollIn = 0.0000, NZW = 472300
  208: F1: 92.83, P: 93.81, R: 91.87, RollIn = 0.0000, NZW = 471960
  209: F1: 92.85, P: 93.82, R: 91.91, RollIn = 0.0000, NZW = 472181
  210: F1: 92.82, P: 93.78, R: 91.87, RollIn = 0.0000, NZW = 472022
  211: F1: 92.83, P: 93.78, R: 91.89, RollIn = 0.0000, NZW = 471005
  212: F1: 92.81, P: 93.78, R: 91.85, RollIn = 0.0000, NZW = 470802
  213: F1: 92.81, P: 93.77, R: 91.87, RollIn = 0.0000, NZW = 470763
  214: F1: 92.81, P: 93.81, R: 91.84, RollIn = 0.0000, NZW = 471047
  215: F1: 92.84, P: 93.83, R: 91.87, RollIn = 0.0000, NZW = 471063
  216: F1: 92.82, P: 93.83, R: 91.84, RollIn = 0.0000, NZW = 470023
  217: F1: 92.79, P: 93.76, R: 91.84, RollIn = 0.0000, NZW = 469962
  218: F1: 92.80, P: 93.78, R: 91.84, RollIn = 0.0000, NZW = 470280
  219: F1: 92.83, P: 93.81, R: 91.87, RollIn = 0.0000, NZW = 470420
  220: F1: 92.80, P: 93.81, R: 91.82, RollIn = 0.0000, NZW = 470393
  221: F1: 92.80, P: 93.81, R: 91.80, RollIn = 0.0000, NZW = 469143
  222: F1: 92.83, P: 93.84, R: 91.84, RollIn = 0.0000, NZW = 469052
  223: F1: 92.76, P: 93.74, R: 91.79, RollIn = 0.0000, NZW = 468909
  224: F1: 92.76, P: 93.74, R: 91.79, RollIn = 0.0000, NZW = 468736
